,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
27,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.9308386307067061,-46.749685328914275,0.8664605564159357,2185.533078352503
28,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0388838554330535,-52.17606116960507,1.0792796650794456,2722.34135917437
29,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.5030917283222617,-25.266871415498848,0.2531012871062803,638.4147911273527
30,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.2481514858258133,-12.462959199976105,0.06157915991755882,155.32535202026904
31,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.21688530048259316,-10.892671635609204,0.04703923356542473,118.6502953612053
32,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-1.9925126891336504,-100.0703431916514,3.970106816358611,10014.073586494893
33,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-1.8284440844328924,-91.83029449890304,3.343207769897638,8432.802987755262
34,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-1.9939078947385416,-100.1404148677144,3.975668692700683,10028.102689877955
35,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,166.18135810113057,8346.157908015906,27616.243780336194,69658351.82553644
36,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),-1.0485378537227388,-52.66091575913366,1.0994316306894876,2773.1720485905716
37,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-0.02435669877561342,-1.2232711082763998,0.0005932487752459683,1.4963922043437716
38,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.9110132973296309,-45.75399384561665,0.8299452279114065,2093.427952824726
39,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0295761428935128,-51.708598155070355,1.0600270340154831,2673.779123162545
40,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.3747268323594318,-17.63734382961541,0.1404201988901337,311.0758973640728
41,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.3747268323594318,-17.63734382961541,0.1404201988901337,311.0758973640728
42,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-3.3148079183237247,-156.01873667944108,10.987951535381665,24341.846195048773
43,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-3.3148079183237247,-156.01873667944108,10.987951535381665,24341.846195048773
44,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,115.13548984815606,5419.105455184816,13256.181022574847,29366703.934413828
45,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,115.13548984815606,5419.105455184816,13256.181022574847,29366703.934413828
46,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0105142085606844,-47.562077230704325,1.0211389657030263,2262.1511904994827
47,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.9322082276614794,-43.87643374385137,0.8690121797197565,1925.1414380785793
48,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0392095561586125,-48.91268697676471,1.0799565016113806,2392.450947286968
49,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.20268388886787858,-9.539763710481878,0.041080758806606554,91.00709165182698
50,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.275952575118818,-12.988315828341733,0.07614982371470688,168.6963480567524
51,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.2309427145691807,-10.869827591888082,0.05333453741258207,118.15315187737147
52,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,9.066287148299756,426.72477624769533,82.19756265542532,182094.03466364564
53,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-0.5286529195224715,-24.882214197045744,0.27947390931963273,619.1245833476648
54,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-0.1589112120058557,-7.479506249608015,0.02525277330117002,55.943013737925355
55,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,140.08791248778888,6593.546193004606,19624.6232251864,43474851.39928553
56,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),10.622156264361891,499.9551835315441,112.83020370452256,249955.18554005993
57,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),6.728228534907513,316.67889723084704,45.26905921794369,100285.52395134539
58,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.9156306297957378,-43.096172582444254,0.8383794502201395,1857.2800912558198
59,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0474798922450268,-49.301948562929034,1.097214124657653,2430.6821321017
60,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.38391391324975155,-17.035745897851317,0.14738989278673775,290.216638296158
61,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.38391391324975155,-17.035745897851317,0.14738989278673775,290.216638296158
62,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,4.534385312296786,201.20822225316218,20.560650160372823,40484.74870227791
63,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,4.534385312296786,201.20822225316218,20.560650160372823,40484.74870227791
64,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-157.7870728426961,-7001.622984070548,24896.76035626628,49022724.41106497
65,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-157.7870728426961,-7001.622984070548,24896.76035626628,49022724.41106497
66,1000,50,0.5,0.0,0.3,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0109920402242214,-44.86162889023991,1.0221049053967337,2012.5657466856085
