,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,PI($p$),-0.3376507527650604,-0.7190219973732741,0.5169926327066526
1,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Prop,-0.6294963306897492,-1.340502591287358,1.7969471972481217
2,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Num,-0.6306857057566626,-1.3430353468912914,1.8037439429994115
3,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM,-0.6351780712610272,-1.352601768975138,1.8295315454346726
4,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM($0.75$),-0.6351873257533454,-1.3526214762717952,1.8295848580716907
5,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,PI($p$),-0.33537235382353514,-0.7141701824599855,0.5100390495149291
6,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Prop,-0.6482312567696826,-1.3803983233724202,1.9054995311693887
7,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Num,-0.6501868371953612,-1.3845627013048865,1.9170138738446842
8,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM,-0.6448330852927895,-1.3731619703575855,1.8855737968363264
9,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM($0.75$),-0.6467333227967814,-1.3772084964038478,1.8967032425669472
10,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,PI($p$),-0.3267309119999022,-0.6957683672431338,0.48409362085617635
11,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Prop,-0.6442012591723048,-1.3718165065153662,1.881880527548024
12,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Num,-0.6469383618839607,-1.3776451239333172,1.8979060874972449
13,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM,-0.644867597773423,-1.3732354641453417,1.885775639986472
14,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM($0.75$),-0.6450525930027727,-1.373629408593036,1.886857752151654
15,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,PI($p$),-0.3289427470102459,-0.7004784353059883,0.49067003832872563
16,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,LS-Prop,-0.6316900337207441,-1.3451740475837617,1.8094932182928805
17,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,LS-Num,-0.6301823846825579,-1.3419635325356025,1.8008661226554332
18,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,DM,-0.6326610400165739,-1.3472417903048193,1.8150604415437346
19,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,DM($0.75$),-0.6325384139479231,-1.3469806600094199,1.8143568984394123
20,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,PI($p$),-0.33693233264380956,-0.7174921329606976,0.5147949608604914
21,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,LS-Prop,-0.6382178043290228,-1.3590748330039704,1.8470844017047698
22,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,LS-Num,-0.6372369015976355,-1.356986015978167,1.8414110475602983
23,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,DM,-0.6420991751781888,-1.3673401515251338,1.8696190899727758
24,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,DM($0.75$),-0.6406834404714926,-1.3643253666084016,1.8613837059711495
25,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,PI($p$),-0.3306649123015359,-0.7041457593602363,0.49582125042500375
26,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,LS-Prop,-0.6409663809363036,-1.3649278839032104,1.8630281282564958
27,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,LS-Num,-0.6407878988259912,-1.364547809040645,1.861990723157625
28,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,DM,-0.6405911070094762,-1.3641287439450733,1.8608472300571635
29,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,DM($0.75$),-0.6409327736446677,-1.364856317701268,1.8628327679690646
30,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,PI($p$),-0.3357279250454144,-0.7149273658160729,0.5111211383927089
31,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,LS-Prop,-0.6575292456129245,-1.4001982451995572,1.9605551258599192
32,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,LS-Num,-0.6583354983190381,-1.4019151477279541,1.9653660814290914
33,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,DM,-0.6560666580433289,-1.3970836878440291,1.9518428308398728
34,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,DM($0.75$),-0.656852886064739,-1.3987579481195231,1.9565237974275387
35,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,7,PI($p$),-0.32001135563601896,-0.6814591770557705,0.464386609993528
36,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,7,LS-Prop,-0.6428482089820864,-1.3689352072961283,1.8739836017748936
37,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,7,LS-Num,-0.6395618469184635,-1.3619369506782255,1.8548722576227032
38,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,7,DM,-0.6457031309183788,-1.375014718910326,1.8906654772200426
39,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,7,DM($0.75$),-0.6435427508504978,-1.3704142233427237,1.8780351435400404
40,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,8,PI($p$),-0.32849481259862523,-0.6995245659818472,0.4893346184120917
41,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,8,LS-Prop,-0.6425548433780803,-1.3683104898304461,1.8722735965800354
42,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,8,LS-Num,-0.6428537154358639,-1.36894693320333,1.8740157059268023
43,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,8,DM,-0.6377258800562394,-1.3580272879584565,1.8442381148398006
44,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,8,DM($0.75$),-0.637849207502194,-1.3582899118258551,1.8449514845678894
45,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,9,PI($p$),-0.34272632254559,-0.7298303438422753,0.5326523307929338
46,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,9,LS-Prop,-0.6612599089241881,-1.4081426343757257,1.9828656787466088
47,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,9,LS-Num,-0.6615404683153282,-1.4087400812113908,1.984548616411476
48,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,9,DM,-0.6596678899579692,-1.4047524548853123,1.9733294595063113
49,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,9,DM($0.75$),-0.6612219029749998,-1.408061701301318,1.982637754671562
50,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,10,PI($p$),-0.34089291084210366,-0.7259261222930773,0.5269687350274638
51,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,10,LS-Prop,-0.6474662813972075,-1.3787693202804556,1.9010048385466296
52,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,10,LS-Num,-0.6455231542446075,-1.3746314613982489,1.8896116546658854
53,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,10,DM,-0.6460200612636472,-1.3756896171239887,1.8925219226627468
54,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,10,DM($0.75$),-0.6462177317006397,-1.3761105532281261,1.8936802547058194
55,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,11,PI($p$),-0.3308435132523201,-0.7045260872917276,0.496357007674591
56,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,11,LS-Prop,-0.6445709010770082,-1.3726036531704713,1.8840407886969235
57,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,11,LS-Num,-0.6447996743327468,-1.3730908222407006,1.8853784061216432
58,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,11,DM,-0.6483140833007404,-1.380574701174954,1.9059865055243137
59,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,11,DM($0.75$),-0.6482545092028125,-1.3804478390651171,1.9056362363795516
