,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,PI($p$),-0.3321311958891919,-0.7065731692491424,0.49924564350277717
1,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Prop,-0.6452663912379992,-1.3727344034828342,1.8843997425053725
2,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Num,-0.6447296847863375,-1.3715926186002314,1.8812663113986399
3,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM,-0.6433357998516788,-1.3686272792763725,1.8731406295794457
4,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM($0.75$),-0.6428297959715402,-1.3675508107914274,1.8701952200962904
5,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,PI($p$),-0.3284037829151779,-0.6986435016035049,0.4881027423328065
6,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Prop,-0.6399589448858635,-1.3614433858486477,1.8535280928710296
7,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Num,-0.6400485228611903,-1.3616339532952018,1.8540470227663197
8,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM,-0.640543859174664,-1.362687727686729,1.8569178431880211
9,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM($0.75$),-0.6418742375617444,-1.3655179637045873,1.8646393091999227
10,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,PI($p$),-0.3238165185853444,-0.6888845932689942,0.4745619828433876
11,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Prop,-0.6382528697853026,-1.3578138957384125,1.8436585754603245
12,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Num,-0.6373203966366917,-1.3558301600459859,1.8382754228903238
13,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM,-0.636030741600564,-1.3530865585493688,1.8308432349269743
14,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM($0.75$),-0.6365648379440249,-1.3542227907092932,1.8339193668764662
15,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,PI($p$),-0.3307957000039252,-0.7037320463078127,0.4952387930005815
16,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,LS-Prop,-0.6370156409026043,-1.3551818252085899,1.836517779375685
17,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,LS-Num,-0.6377974309209842,-1.3568449988514484,1.841028350908187
18,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,DM,-0.6355777284975676,-1.3521228222070518,1.8282361263331626
19,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,DM($0.75$),-0.6367591788085609,-1.3546362298630656,1.8350393152576203
20,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,PI($p$),-0.3419271509598845,-0.727413003344193,0.5291296774342189
21,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,LS-Prop,-0.6584021065065041,-1.4006792159018349,1.961902265859379
22,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,LS-Num,-0.6598266369434784,-1.4037097502147895,1.9704010628480668
23,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,DM,-0.6584099342303606,-1.4006958685370638,1.9619489161367996
24,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,DM($0.75$),-0.6599688741408838,-1.4040123444564618,1.9712506633861304
25,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,PI($p$),-0.3426473841947419,-0.7289452215930368,0.5313611360833215
26,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,LS-Prop,-0.6456364400897701,-1.3735216423607501,1.8865617020333725
