,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,PI($p$),-0.02284512799746089,-0.04829745237754235,0.002332643906160971
1,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Prop,-0.5974214312569921,-1.2630234826727484,1.5952283177827984
2,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Num,-0.5997836163481371,-1.2680174368304664,1.6078682201061059
3,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM,-0.6553609122421232,-1.3855147781458974,1.9196512004606754
4,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM($0.75$),-0.6302909147321157,-1.3325136738850998,1.775592691090766
5,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,PI($p$),-0.45210464969992115,-0.9558056663536445,0.9135644718337343
6,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Prop,-0.697948035235829,-1.4755492723677575,2.1772456551850183
7,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Num,-0.7055711796710157,-1.4916655513120678,2.225066116971135
8,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM,-0.654881984988332,-1.3845022661461899,1.9168465249639353
9,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM($0.75$),-0.7456316963340015,-1.5763584843508034,2.484906071184762
10,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,PI($p$),-0.4695013366040601,-0.9925844341229935,0.9852238588632631
11,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Prop,-0.6180705937057183,-1.306678389754658,1.7074084142518262
12,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Num,-0.6128570761514587,-1.2956563628338933,1.6787254105519533
13,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM,-0.6431479231008745,-1.3596949945359103,1.848770478166009
14,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM($0.75$),-0.9229119112831671,-1.9511509889031717,3.806990181497825
15,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,PI($p$),0.2053786465720605,0.434196096571692,0.18852625027809408
16,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Prop,-0.5678428535726561,-1.2004906771107295,1.4411778658297778
17,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Num,-0.5588453508501795,-1.181468833183923,1.3958686037849803
18,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM,-0.637353755935565,-1.3474454018540412,1.8156091109775985
19,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM($0.75$),-0.5596200241863236,-1.183106589320143,1.3997412016927413
20,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,PI($p$),-0.514310770411357,-1.0873171708191105,1.1822586299580746
21,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Prop,-0.6184211916855035,-1.3074195976495853,1.7093460043182034
22,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Num,-0.6242795305088055,-1.3198048572270926,1.7418848611602262
23,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM,-0.6416594459059648,-1.3565481679370748,1.840222931933434
24,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM($0.75$),-0.7172584019795131,-1.5163737982053722,2.299389495883787
25,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,PI($p$),0.04431119420999135,0.09367939599143194,0.008775829233319514
26,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Prop,-0.6554634754811071,-1.385731609636229,1.9202520939450145
27,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Num,-0.6592279554385068,-1.393690190191739,1.9423723462366853
28,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM,-0.6471159565962205,-1.3680839126805258,1.8716535921352564
29,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM($0.75$),-0.7571048312140672,-1.600614123695555,2.561965572973689
30,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,PI($p$),-0.12371779715134798,-0.2615548670524319,0.06841094847881533
31,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Prop,-0.6614016162778455,-1.398285580547379,1.9552025647667208
32,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Num,-0.6607378353238355,-1.3968822647498493,1.9512800615726682
33,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM,-0.6523778384610767,-1.3792081877912798,1.9022152252705062
34,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM($0.75$),-0.4797632276733884,-1.0142793528505005,1.0287626056188302
35,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,PI($p$),0.8184950003877391,1.7304006047537581,2.994286252932172
36,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Prop,-0.6853101037166652,-1.448831107524676,2.0991115781311795
37,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Num,-0.6895421734378965,-1.4577782312108432,2.1251173713922147
38,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM,-0.6364249718438835,-1.345481836342743,1.8103213719282398
39,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM($0.75$),-0.7849031071058291,-1.6593831490303823,2.753552435285988
40,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,PI($p$),0.07640682424763053,0.161533564435679,0.026093092439295664
41,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Prop,-0.6578933189441807,-1.390868602038098,1.934515468135413
42,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Num,-0.6522934441245211,-1.3790297676287322,1.9017231000061552
43,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM,-0.6502869261945451,-1.3747877382481803,1.8900413252375472
44,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM($0.75$),-0.5628589521660702,-1.189954087389468,1.4159907300949017
45,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,PI($p$),-0.6025907280065623,-1.273952021292252,1.6229537525546143
46,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Prop,-0.5119258228886046,-1.082275094039507,1.1713193791782237
47,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Num,-0.5168264670076586,-1.0926356674617963,1.1938527018096852
48,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM,-0.6482272323261858,-1.3704332882958554,1.8780873976693913
49,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM($0.75$),-0.557660102891669,-1.1789630710433867,1.3899539228840536
50,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,PI($p$),0.18251478692153905,0.38585904314127983,0.14888720117390405
51,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,LS-Prop,-0.6369766238636299,-1.3466480975760193,1.813461098705112
52,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,LS-Num,-0.6440964297599132,-1.3617002560165985,1.85422758723567
53,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,DM,-0.6424892015647171,-1.3583023749792957,1.8449853418743953
54,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,DM($0.75$),-0.6154993430436264,-1.3012424448819961,1.6932319003624747
55,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,PI($p$),-0.26779370239842204,-0.5661493159517885,0.32052504795267805
56,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,LS-Prop,-0.5527579022077215,-1.1685992068486042,1.3656241062471868
57,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,LS-Num,-0.5501824050570837,-1.1631542843690608,1.3529278892461019
58,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,DM,-0.6492602612647033,-1.3726172404264023,1.884078088715792
59,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,DM($0.75$),-0.4019937134265725,-0.8498648916499478,0.7222703340591775
60,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,12,PI($p$),-0.14574971894275648,-0.3081330999966534,0.0949460073135476
