,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.39785335487768514,-27.986968555758416,0.15828729198742927,783.2704089410104
1,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.39785335487768514,-27.986968555758416,0.15828729198742927,783.2704089410104
2,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,0.5492816268131773,38.63918056592074,0.30171030555453054,1492.986274805827
3,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,0.5492816268131773,38.63918056592074,0.30171030555453054,1492.986274805827
4,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-42.18651747618114,-2967.6078474839474,1779.7022567681365,8806696.336448308
5,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-42.18651747618114,-2967.6078474839474,1779.7022567681365,8806696.336448308
6,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0066216532853387,-70.81073519338182,1.0132871528629086,5014.160218627242
7,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.9563686498754497,-67.27569091381963,0.9146409944645905,4526.018587931793
8,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0387933253492179,-73.07384938708962,1.079091572790086,5339.787464247059
9,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.6651669295932925,-46.79112470619005,0.44244704422456815,2189.4093512702284
10,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.537129302505874,-37.784326097312736,0.2885078876104467,1427.6552986280683
11,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.5270470765876871,-37.07509256620151,0.27777862093962735,1374.5624887924107
12,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,0.16507237594945892,11.61200562589741,0.027248889301599504,134.83867465587312
13,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-1.4596578842273198,-102.67953960220868,2.1306011389869757,10543.08785292154
14,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-1.4847374871834753,-104.4437626525349,2.2044454058479004,10908.499557019044
15,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,35.36627734539923,2487.8384959307914,1250.773573271699,6189340.381835182
16,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),-3.0663385495334645,-215.70138724477118,9.402432100354991,46527.08845931874
17,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),0.9814379773444185,69.03919113566329,0.9632205033739033,4766.409912666648
18,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.9587803874530823,-67.44534443796974,0.9192598313646825,4548.874486356375
19,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0244106713581167,-72.0621025209081,1.0494172235923873,5192.94661973387
20,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.6134739587741743,-40.7499138562919,0.37635029809405735,1660.5554792952103
21,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.6134739587741743,-40.7499138562919,0.37635029809405735,1660.5554792952103
22,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-2.462230686014869,-163.5532966222596,6.062579951153252,26749.680836008836
23,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-2.462230686014869,-163.5532966222596,6.062579951153252,26749.680836008836
24,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,20.470961822578293,1359.7805072155945,419.06027794145797,1849003.0278034995
25,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,20.470961822578293,1359.7805072155945,419.06027794145797,1849003.0278034995
26,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0076069749032397,-66.93013915431808,1.015271815873658,4479.643527216383
27,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.9597526530077901,-63.751423143637886,0.9211251549554915,4064.2439528391683
28,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0262920020790531,-68.17128922585218,1.0532752735314312,4647.32467471479
29,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.43577490029737354,-28.94628108312088,0.18989976372918585,837.8871885430417
30,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.3801305616031982,-25.25011439837874,0.14449924386476284,637.5682771312134
31,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.3389863371772733,-22.51711558553498,0.11491173679286401,507.02049429234233
32,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-1.2147872407362446,-80.69205661579977,1.4757080402555787,6511.208000887435
33,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-0.11480558988913568,-7.6259437442970395,0.013180323469792412,58.15501799118315
