,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
28,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.16512535694864,-13.13462253718809,1.3575170974046957,172.51830919440928
29,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,1.993619005449203,22.474348329450947,3.9745167388882687,505.0963328334946
30,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),1.8222695136297014,20.542701332356746,3.320666180304228,422.0025780304116
31,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),1.8414336263418138,20.75874107883771,3.3908778002223627,430.92533117822416
32,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,17.295397608302,194.97345745745903,299.13077842925856,38014.64911291559
33,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-3.065400164046967,-34.55668854863502,9.396678165739173,1194.164723447363
34,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-3.3510704571385377,-37.77709006806661,11.229673208706688,1427.108534010817
35,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,232.4131609663792,2620.026354900361,54015.877390384085,6864538.100372474
36,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),8.16927674678762,92.09340937518812,66.73708256560492,8481.196050345987
37,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-3.511083938682884,-39.58094462192381,12.327710424476914,1566.6511771637995
38,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.6511530404140956,-7.340540096200599,0.4240002820405208,53.883528903928706
39,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.1931622810179758,-13.450686737969846,1.4236362288440192,180.9209737229979
40,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,1.443076184488612,16.432878947103283,2.0824688742382103,270.0395104901503
41,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,1.443076184488612,16.432878947103283,2.0824688742382103,270.0395104901503
42,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-5.379256466862677,-61.25571975723673,28.936400136283932,3752.2632029771225
43,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-5.379256466862677,-61.25571975723673,28.936400136283932,3752.2632029771225
44,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-799.425485101735,-9103.374004166999,639081.1062301444,82871418.2597435
45,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-799.425485101735,-9103.374004166999,639081.1062301444,82871418.2597435
46,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0388193260290768,-11.829446300921857,1.0791455921315054,139.9357997863938
47,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.8071617807007544,-9.191470260237322,0.6515101402240128,84.48312554482715
48,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.1652048028863797,-13.26864768487649,1.357702232669487,176.05701138537822
49,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,1.6282238629771886,18.54122874917431,2.6511129479683584,343.7771635292079
50,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),0.9875935724745131,11.246118396141418,0.9753410643929713,126.4751789800304
51,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),1.0896491788444373,12.40826592748918,1.1873353329563565,153.96506332728893
52,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-11.218359645959357,-127.7478957997268,125.85159314608934,16319.524881257857
53,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),0.9438903568279422,10.748452604107195,0.8909290057127801,115.52923338273874
54,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),4.217429169063537,48.025533057884374,17.786708796067952,2306.451825493945
55,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,339.942358878428,3871.0580165395504,115560.80735982995,14985090.167415118
56,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),-0.5588012870880094,-6.363291144920999,0.31225887845121586,40.49147419503
57,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-18.055658101747525,-205.60691603503014,326.00678948720105,42274.20392143593
58,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.7311629716644517,-8.326041780132405,0.5345992911331917,69.32297172451038
