,n,nc,Pii,Pij,Phi,K,p,q,B,ratio,out-in,Graph,rep,design,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Cluster,PI-$n$($p$),0.10471547640069209,0.2696238481143003,0.010965330997823902,0.07269701947196328
1,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Cluster,PI-$\mathcal{U}$($p$),0.10471547640069209,0.2696238481143003,0.010965330997823902,0.07269701947196328
2,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Cluster,LS-Prop,0.31649077994278907,0.8149078332446664,0.10016641378879494,0.6640747766835171
3,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Cluster,LS-Num,0.12324224925598576,0.31732701446642153,0.015188652001674522,0.1006964341101725
4,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Cluster,DM,0.10648509585155026,0.274180305501865,0.011339075638513847,0.07517483992509602
5,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Cluster,DM($0.75$),0.10648509585155026,0.274180305501865,0.011339075638513847,0.07517483992509602
6,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Bernoulli,PI-$n$($B$),-0.034568411789554485,-0.08900755199006882,0.0011949750936522095,0.007922344311264805
7,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Bernoulli,LS-Prop,-1.1777684618003283,-3.0325456730306772,1.3871385496115114,9.196333259017083
8,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Bernoulli,LS-Num,-0.9463689867136587,-2.436732913837761,0.895614259013437,5.937667293380266
9,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Bernoulli,DM,-1.035107226278724,-2.6652182003380043,1.0714469698944336,7.1033880554129505
10,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,0,Bernoulli,DM($0.75$),-0.9924879093612752,-2.5554809902687436,0.9850322502283148,6.530483091624919
11,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Cluster,PI-$n$($p$),-0.026476100555243826,-0.06817128050346932,0.0007009839006113824,0.004647323485482697
12,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Cluster,PI-$\mathcal{U}$($p$),-0.026476100555244,-0.06817128050346977,0.0007009839006113916,0.004647323485482757
13,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Cluster,LS-Prop,0.1597761407074083,0.4113953292781716,0.025528415139353538,0.1692461169518952
14,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Cluster,LS-Num,-0.019737590222591868,-0.05082080711694337,0.0003895724677949541,0.0025827544360175615
15,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Cluster,DM,-0.0235816440251222,-0.0607185663997325,0.0005560939349275814,0.0036867443056387244
16,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Cluster,DM($0.75$),-0.0235816440251222,-0.0607185663997325,0.0005560939349275814,0.0036867443056387244
17,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Bernoulli,PI-$n$($B$),0.045648926677909034,0.1175379198590365,0.002083824506845115,0.013815162604789287
18,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Bernoulli,LS-Prop,-0.4758821904437049,-1.2253125502243905,0.2264638591814986,1.5013908457373994
19,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Bernoulli,LS-Num,-0.629201352796865,-1.620082301212669,0.3958943423614049,2.6246666627025372
20,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Bernoulli,DM,-0.980367825915684,-2.5242739170605555,0.961121074090645,6.3719588083522405
21,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,1,Bernoulli,DM($0.75$),-0.13120074307126153,-0.3378187297450461,0.01721363498245118,0.11412149416655651
22,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Cluster,PI-$n$($p$),-0.051246820743713874,-0.13195150790960408,0.0026262366363383424,0.01741120043961831
23,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Cluster,PI-$\mathcal{U}$($p$),-0.051246820743713874,-0.13195150790960408,0.0026262366363383424,0.01741120043961831
24,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Cluster,LS-Prop,0.20001043280787714,0.5149915218865404,0.04000417323199434,0.26521626761501504
25,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Cluster,LS-Num,-0.05348132929564637,-0.1377049725847872,0.0028602525832293626,0.018962659474576996
26,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Cluster,DM,-0.052876623232011054,-0.13614796132475604,0.002795937284420051,0.018536267372887265
27,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Cluster,DM($0.75$),-0.052876623232011054,-0.13614796132475604,0.002795937284420051,0.018536267372887265
28,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Bernoulli,PI-$n$($B$),0.02563084091612321,0.06599488629328265,0.0006569400060676157,0.004355325016863306
29,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Bernoulli,LS-Prop,-1.5460564062010147,-3.9808220520011712,2.390290411155197,15.846944209698815
30,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Bernoulli,LS-Num,-1.1498960584603057,-2.960779159588342,1.322260945262547,8.76621323185265
31,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Bernoulli,DM,-1.0836068947714321,-2.7900962766333763,1.1742039023961857,7.78463723288343
32,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,2,Bernoulli,DM($0.75$),-1.3778748105577932,-3.547784161538698,1.8985389935696744,12.586772456864843
33,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Cluster,PI-$n$($p$),-0.027163465799854975,-0.0699411245483259,0.0007378538742598908,0.004891760903084436
34,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Cluster,PI-$\mathcal{U}$($p$),-0.027163465799854975,-0.0699411245483259,0.0007378538742598908,0.004891760903084436
35,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Cluster,LS-Prop,0.12265175085280579,0.31580658542151596,0.015043451987258745,0.09973379939559726
36,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Cluster,LS-Num,-0.030712724494948874,-0.07907983852086753,0.0009432714459026326,0.006253620860486484
37,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Cluster,DM,-0.02320234870106362,-0.05974194796318821,0.0005383489852457487,0.0035691003464362885
38,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Cluster,DM($0.75$),-0.02320234870106362,-0.05974194796318821,0.0005383489852457487,0.0035691003464362885
39,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Bernoulli,PI-$n$($B$),0.04642722724296651,0.11954190628543016,0.0021554874294700517,0.014290267358354565
40,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Bernoulli,LS-Prop,-0.6144105651773034,-1.5819986366799526,0.3775003426014934,2.5027196864572283
41,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Bernoulli,LS-Num,-0.457763025568987,-1.1786589023963927,0.20954698757807305,1.3892368081982691
42,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Bernoulli,DM,-0.9441467799275962,-2.4310111240359253,0.8914131420476488,5.9098150851864135
43,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,3,Bernoulli,DM($0.75$),-1.1324503224414155,-2.9158594720666957,1.2824437327976659,8.50223646084107
44,1000,50,0.5,0,0.0,25,1.0,0.5,0.5,1.25,0.0,SBM0,4,Cluster,PI-$n$($p$),-0.1231199261170431,-0.31701205399860166,0.015158516207066153,0.10049664238041234
