,n,nc,Pii,Pij,Phi,K,p,q,B,ratio,out-in,Graph,rep,design,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
28,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,2,Bernoulli,PI-$n$($B$),0.05441916372296069,0.13715878387295488,0.002961445380306401,0.018812531993507946
29,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,2,Bernoulli,LS-Prop,-0.5797834058616997,-1.4612938056627696,0.33614879771259243,2.13537958646838
30,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,2,Bernoulli,LS-Num,-0.3037968888261687,-0.7656937182627765,0.0922925496604595,0.5862868701870763
31,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,2,Bernoulli,DM,-0.9661538591567261,-2.4351070338147616,0.933453279563435,5.929746266134126
32,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,2,Bernoulli,DM($0.75$),-0.928050738747019,-2.339071422467152,0.8612781736888878,5.471255119402506
33,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Cluster,PI-$n$($p$),0.0110901660111528,0.027951801883296934,0.0001229917821549288,0.000781303228523082
34,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Cluster,PI-$\mathcal{U}$($p$),0.0110901660111528,0.027951801883296934,0.0001229917821549288,0.000781303228523082
35,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Cluster,LS-Prop,-0.10524978856735655,-0.2652729666386513,0.011077517993473257,0.07036974682927101
36,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Cluster,LS-Num,0.07006418502547204,0.17659070359967322,0.004908990023283581,0.03118427659782764
37,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Cluster,DM,-0.5601217715068453,-1.4117383609889897,0.3137363989159666,1.993005199887879
38,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Cluster,DM($0.75$),-0.3327037329474358,-0.838550912567753,0.11069177391715869,0.7031676329682114
39,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Bernoulli,PI-$n$($B$),0.011778052968078581,0.02968556131654232,0.0001387225317188647,0.0008812325506781937
40,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Bernoulli,LS-Prop,-0.6132674132042722,-1.5456873430144398,0.3760969200982596,2.3891493623550386
41,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Bernoulli,LS-Num,-0.3657726075406513,-0.9218981438178169,0.1337896004270873,0.8498961875747362
42,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Bernoulli,DM,-0.9446569867069153,-2.3809260306428213,0.8923768225341893,5.6688087633925806
43,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,3,Bernoulli,DM($0.75$),-0.6553065111373098,-1.651643244449556,0.42942662353895306,2.7279254069358556
44,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Cluster,PI-$n$($p$),0.01835657192933166,0.04626614798274176,0.00033696373299672703,0.002140556449160959
45,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Cluster,PI-$\mathcal{U}$($p$),0.01835657192933166,0.04626614798274176,0.00033696373299672703,0.002140556449160959
46,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Cluster,LS-Prop,0.11664616013696469,0.2939965330831731,0.01360632667469841,0.08643396146492528
47,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Cluster,LS-Num,0.28679708495810424,0.7228471865429462,0.08225256794046606,0.5225080550930529
48,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Cluster,DM,-0.5598369867385805,-1.411020585672199,0.3134174517205336,1.9909790931907152
49,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Cluster,DM($0.75$),-0.21313108738014,-0.5371784266917445,0.04542486040784087,0.28856066210301795
50,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Bernoulli,PI-$n$($B$),0.056362168069999656,0.14205595786586,0.0031766939895508887,0.020179895165186992
51,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Bernoulli,LS-Prop,-0.9893758501352412,-2.4936360486657927,0.9788645728308313,6.218220743205547
52,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Bernoulli,LS-Num,-0.642504092893567,-1.6193758592709813,0.4128115093849854,2.6223781735896288
53,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Bernoulli,DM,-0.9664118384637537,-2.435757248290611,0.9339518415228923,5.9329133726002485
54,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,4,Bernoulli,DM($0.75$),-0.7435333216063065,-1.8740112707301866,0.5528418003389072,3.5119182428237687
55,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Cluster,PI-$n$($p$),-0.016056249902578392,-0.040384419364227764,0.0002578031609340486,0.0016309013273858143
56,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Cluster,PI-$\mathcal{U}$($p$),-0.016056249902578392,-0.040384419364227764,0.0002578031609340486,0.0016309013273858143
57,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Cluster,LS-Prop,-0.023883250002512124,-0.06007076308193593,0.0005704096306824954,0.0036084965772460766
58,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Cluster,LS-Num,0.1322254417755054,0.33257128679996395,0.017483567452727573,0.11060366080378388
59,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Cluster,DM,-0.551970602015387,-1.3883075066572705,0.3046715454892287,1.9273977330409273
60,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Cluster,DM($0.75$),-0.1542372343437328,-0.38793499049337354,0.023789124458003547,0.15049355684909382
61,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Bernoulli,PI-$n$($B$),-0.1089792858719497,-0.274102932463709,0.011876484749160136,0.07513241758520461
62,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Bernoulli,LS-Prop,-1.4728257039437112,-3.704427325145539,2.1692155541972884,13.722781807284932
63,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Bernoulli,LS-Num,-1.1476819694849743,-2.886631077223156,1.3171739030809093,8.332638975990516
64,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Bernoulli,DM,-1.0805138088534414,-2.717690808896114,1.1675100911229712,7.385843332758413
65,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,0,Bernoulli,DM($0.75$),-1.5332969698655041,-3.8565236725049097,2.3509995977987366,14.872774836590755
66,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Cluster,PI-$n$($p$),0.0017480706502657792,0.004396718950375522,3.055750998320624e-06,1.9331137528591232e-05
67,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Cluster,PI-$\mathcal{U}$($p$),0.0017480706502657792,0.004396718950375522,3.055750998320624e-06,1.9331137528591232e-05
68,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Cluster,LS-Prop,0.36472578265856676,0.9173523736364153,0.13302489653590407,0.8415353774163653
69,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Cluster,LS-Num,0.5091422541570726,1.2805863406887807,0.2592258349681451,1.639901375958682
70,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Cluster,DM,-0.5442401422748447,-1.3688639796858695,0.29619733246334323,1.8737885948814366
71,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Cluster,DM($0.75$),0.13247201969350916,0.3331914755804726,0.01754883600167748,0.11101655939949265
72,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Bernoulli,PI-$n$($B$),0.01284374726193712,0.03230438482094922,0.0001649618437285173,0.0010435732786599741
73,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Bernoulli,LS-Prop,-0.7590101476239528,-1.909050014127387,0.5760964041961346,3.6444719564397765
74,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Bernoulli,LS-Num,-0.5480075978803342,-1.378339822926436,0.300312327334574,1.8998206674648792
75,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Bernoulli,DM,-0.9959444096095572,-2.504983227414252,0.9919052670325295,6.274940969626723
76,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,1,Bernoulli,DM($0.75$),-0.8269054337653733,-2.079819136744808,0.6837725963907002,4.325647641569918
77,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Cluster,PI-$n$($p$),0.0071214978339593695,0.01791187585974674,5.0715731399087994e-05,0.00032083529681497803
78,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Cluster,PI-$\mathcal{U}$($p$),0.0071214978339595465,0.017911875859747184,5.0715731399090514e-05,0.0003208352968149939
79,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Cluster,LS-Prop,-0.0435272560799136,-0.10947904859297708,0.0018946220218463753,0.011985662080823436
80,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Cluster,LS-Num,0.03706383764809512,0.0932223633731537,0.0013737280612043533,0.008690409032876309
81,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Cluster,DM,-0.5584744831755437,-1.4046659630752099,0.31189374835819067,1.9730864678220068
82,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Cluster,DM($0.75$),-0.2798793711273164,-0.7039480553417914,0.07833246238262212,0.4955428646194898
83,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Bernoulli,PI-$n$($B$),0.03458176990997902,0.08697950685094646,0.0011958988101067303,0.007565434612033843
84,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Bernoulli,LS-Prop,-1.1819939422885684,-2.9729319947675323,1.3971096796068714,8.83832464551246
85,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Bernoulli,LS-Num,-0.983708893504708,-2.474208655735678,0.967683187160257,6.121708472117351
86,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Bernoulli,DM,-1.0144667800924405,-2.5515703932679816,1.029142847911124,6.510511471801722
87,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,2,Bernoulli,DM($0.75$),-1.0171933230685744,-2.558428149944097,1.034682256495289,6.545554598426374
88,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Cluster,PI-$n$($p$),0.023229409345093634,0.05842623366399691,0.0005396054585219234,0.0034136247801599654
89,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Cluster,PI-$\mathcal{U}$($p$),0.023229409345093634,0.05842623366399691,0.0005396054585219234,0.0034136247801599654
90,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Cluster,LS-Prop,-0.1837494366249967,-0.46216360305981663,0.03376385546000368,0.21359519599323173
91,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Cluster,LS-Num,0.043302574496961205,0.10891393311928788,0.001875112958064875,0.011862244827512712
92,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Cluster,DM,-0.6016883159633125,-1.5133566944866974,0.362028829566767,2.2902484847477034
93,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Cluster,DM($0.75$),-0.3752747917829977,-0.943885070308611,0.1408311693477723,0.8909190259514915
94,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Bernoulli,PI-$n$($B$),-0.03239167426761912,-0.08147101380895494,0.0010492205618595385,0.006637526091058926
95,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM1,3,Bernoulli,LS-Prop,-1.4326284535392633,-3.6033238528234364,2.052424285890301,12.983942788326333
