,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,PI($p$),-0.025909768588377978,-0.029179692953279712,0.0008514544808476817
1,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,LS-Prop,0.04431294502505469,0.04990542950146848,0.0024905518937260404
2,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,LS-Num,0.04572810711060335,0.05149919113598789,0.0026521666876610133
3,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,DM,-0.49451440726430784,-0.5569242548703505,0.3101646256628951
4,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,DM($0.75$),-0.2139118282142971,-0.24090842205235863,0.058036867815757356
5,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,PI($p$),-0.10288184173398852,-0.11586597317632163,0.013424923740096085
6,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,LS-Prop,0.056582847751745366,0.06372384678721921,0.004060728649360987
7,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,LS-Num,0.058531415012652056,0.06591833162710214,0.004345226444500615
8,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,DM,-0.525468491527024,-0.5917848778572017,0.35020934166046314
9,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,DM($0.75$),-0.5163311387702768,-0.5814943518365531,0.33813568121781296
10,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,PI($p$),0.0010439704089342068,0.001175723969942144,1.3823268534965155e-06
11,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,LS-Prop,0.00919266029194146,0.010352813604942002,0.0001071807495386722
12,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,LS-Num,0.01046712055957361,0.0117881162462532,0.00013895968463517862
13,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,DM,-0.5355128972185501,-0.6030969307988238,0.3637259079389612
14,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,DM($0.75$),-0.24570730181542227,-0.27671662133520003,0.07657208852316848
15,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,PI($p$),-0.012071077069947788,-0.013594498974971447,0.00018481040238049973
16,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,LS-Prop,-0.00978582561495566,-0.011020838945926759,0.00012145889107205603
17,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,LS-Num,-0.009614178659130616,-0.010827529405154301,0.00011723539301948107
18,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,DM,-0.5423544574499092,-0.6108019253915572,0.37307899206203343
19,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,DM($0.75$),0.5470623064932646,0.61610392525647,0.3795840467164299
20,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,PI($p$),0.019404599625042797,0.02185354365511616,0.00047757737028606773
21,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,LS-Prop,0.01646388094045198,0.01854169360961544,0.00034379440191285404
22,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,LS-Num,0.01806712334053285,0.02034727210424636,0.00041401148208424215
23,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,DM,-0.5046028732613074,-0.5682859287177231,0.3229488967785651
24,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,DM($0.75$),0.2291686799477271,0.2580907541714843,0.06661083738880555
25,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,PI($p$),-0.0012040188952663633,-0.0013559712644279909,1.8386580699544443e-06
26,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,LS-Prop,-0.0362347018736039,-0.04080767727889545,0.0016652665248984798
