,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,PI($p$),0.03574208919951141,0.040066670958021744,0.001605338121658383
1,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Prop,-0.5779255017070852,-0.6478510751258477,0.4197110155417168
2,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Num,-0.5777771023008117,-0.6476847202676206,0.4194954968681459
3,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM,-0.5568887558024085,-0.624269007175502,0.38971179331988703
4,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM($0.75$),-0.6508640502470908,-0.7296147573827889,0.532337694190746
5,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,PI($p$),0.014942561544222915,0.016750523264615236,0.00028058002963841623
6,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Prop,-0.5378096132571387,-0.602881401032631,0.36346598371106803
7,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Num,-0.538139025727752,-0.6032506704672143,0.36391137141914354
8,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM,-0.5473441636710132,-0.6135695757510411,0.37646762428731256
9,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM($0.75$),-0.7322558778692749,-0.8208545155795385,0.6738021357473187
10,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,PI($p$),-0.07452722339211108,-0.08354457738602239,0.006979696410609084
11,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Prop,-0.5392695866433447,-0.6045180225783402,0.36544203962202665
12,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Num,-0.5393036562058763,-0.6045562143567788,0.3654882163173994
13,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM,-0.5475664874938992,-0.6138187994438136,0.3767735185506446
14,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM($0.75$),-0.501281620633277,-0.5619337369761795,0.31576952475201414
15,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,PI($p$),-0.021599265080994755,-0.02421264862567507,0.0005862523534704049
16,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Prop,-0.5589227905301062,-0.6265491480955512,0.3925638349792609
17,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Num,-0.5577408268024324,-0.6252241737355838,0.39090526742334347
18,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM,-0.5484628639925536,-0.6148236322062638,0.37800809871930313
19,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM($0.75$),-0.5215353950483452,-0.5846380985096299,0.3418017062289557
20,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,PI($p$),0.03884733196600904,0.04354762976475368,0.0018963960581280608
21,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Prop,-0.5234210759906819,-0.5867519357122254,0.3442778340620435
22,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Num,-0.5228298439669617,-0.5860891681044896,0.3435005129694127
23,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM,-0.5286077530451535,-0.5925661700662116,0.3511346659069384
24,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM($0.75$),-0.4178647170091187,-0.4684238805380212,0.21942093185829836
25,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,PI($p$),0.02986666263698187,0.033480352472136765,0.0011209340016585143
26,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Prop,-0.5704170292821547,-0.6394341218703233,0.4088759962120715
27,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Num,-0.5709959031166582,-0.6400830360209145,0.4097062930017514
28,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM,-0.5647153053367142,-0.6330425229925901,0.40074283591682397
29,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM($0.75$),-1.1666629620675835,-1.3078222920643334,1.7103991476204066
30,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,PI($p$),0.045497694266787965,0.051002646637706484,0.0026012699640507527
31,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Prop,-0.5563586381882013,-0.6236747484599879,0.38897019186662923
32,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Num,-0.5583822814636127,-0.6259432406233791,0.3918049404820975
33,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM,-0.553583855124816,-0.6205642330292875,0.3850999673152279
34,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM($0.75$),-0.5817556778331228,-0.6521446799483469,0.42529268358493183
35,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,PI($p$),0.04305411415099624,0.048263407755712695,0.0023293565281941883
36,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Prop,-0.5587716270389785,-0.6263796947145228,0.3923515219506588
37,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Num,-0.5589610407246773,-0.6265920263378221,0.39261756747013793
38,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM,-0.5420142471890037,-0.6075947708445241,0.3691714055576097
39,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM($0.75$),-0.6071597521014656,-0.680622497208026,0.4632469837056894
40,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,PI($p$),0.0015303908011994355,0.001715559052146265,2.943142861400991e-06
41,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Prop,-0.5467260286975916,-0.6128766500955349,0.3756177882323248
42,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Num,-0.5472065411710726,-0.6134153017411823,0.37627833241022574
43,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM,-0.5606269862349789,-0.6284595414185061,0.39496139519995904
44,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM($0.75$),-0.6785456797674759,-0.7606457006324715,0.5785818818906635
45,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,PI($p$),0.0025978122038519823,0.0029121321420655377,8.480513612851217e-06
46,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Prop,-0.5514910746229079,-0.6182182384432056,0.38219379034382017
47,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Num,-0.5520788276584551,-0.6188771061257407,0.38300887248657123
48,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM,-0.5603581716246119,-0.6281582018274665,0.39458272652311616
49,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM($0.75$),-0.5639654840846368,-0.6322019777962358,0.3996793407294722
50,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,PI($p$),0.012184920061268475,0.013659223444367541,0.00018657438510315987
51,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,LS-Prop,-0.5482151826909524,-0.6145459829295716,0.37766676513487335
52,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,LS-Num,-0.5486345362793968,-0.6150160758261979,0.3782447735246556
53,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,DM,-0.5638378621107244,-0.6320589143170077,0.39949847116759446
54,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,DM($0.75$),-0.40720650065251,-0.456476082932349,0.20837041428926076
55,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,PI($p$),-0.005019858654694568,-0.005627231912794128,3.166573900036867e-05
56,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,LS-Prop,-0.5573163128466343,-0.6247482960976228,0.390310433476883
57,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,LS-Num,-0.5575660231737183,-0.6250282198999011,0.3906602756712391
58,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,DM,-0.5596022255425861,-0.6273107907329034,0.39351882816994055
59,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,DM($0.75$),-0.811383717355339,-0.9095563564431283,0.827292765546099
60,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,12,PI($p$),-0.006728376792603273,-0.007542470657661227,5.688886362168058e-05
61,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,12,LS-Prop,-0.5533772518988793,-0.6203326320328751,0.38481257436483446
62,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,12,LS-Num,-0.552441799444701,-0.6192839953550014,0.38351266690285346
63,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,12,DM,-0.5606926308766818,-0.6285331286742647,0.39505389384105977
64,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,12,DM($0.75$),-0.3766544771704155,-0.42222744499946707,0.178276015310778
65,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,13,PI($p$),-0.003442280083749393,-0.0038587756493770886,1.4890149512225572e-05
66,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,13,LS-Prop,-0.5464551431302301,-0.6125729889739323,0.3752456668204574
67,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,13,LS-Num,-0.5469665084605124,-0.613146226489887,0.37594829505878785
68,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,13,DM,-0.5623736882833573,-0.6304175841015578,0.3974263303444447
69,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,13,DM($0.75$),-0.5026011110405401,-0.5634128779319577,0.3174340710195711
70,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,14,PI($p$),-0.023640148589607005,-0.026500466988691684,0.0007022747506187378
71,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,14,LS-Prop,-0.5446474528130165,-0.6105465788016139,0.3727671248863553
72,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,14,LS-Num,-0.54452390255868,-0.6104080796959895,0.3725980237581455
73,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,14,DM,-0.5505170613868313,-0.6171263753565013,0.3808449631606533
74,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,14,DM($0.75$),-0.48446142604306053,-0.5430783981532517,0.2949341465407017
75,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,15,PI($p$),0.0014510872836695269,0.0016266602772327943,2.6460236575270712e-06
76,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,15,LS-Prop,-0.5298433031538837,-0.5939512144429493,0.35277804513825434
77,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,15,LS-Num,-0.5302722373499523,-0.5944320471441547,0.3533494586719905
78,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,15,DM,-0.5567501401594313,-0.624113619858163,0.38951781049245965
79,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,15,DM($0.75$),-0.5084306579078358,-0.5699477655503765,0.324840455455867
80,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,16,PI($p$),-0.043917326494430496,-0.04923106369597474,0.002423697632637122
81,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,16,LS-Prop,-0.5817329772017269,-0.652119232674585,0.4252594936240896
82,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,16,LS-Num,-0.5807771886935275,-0.6510477994002255,0.42386323710387624
83,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,16,DM,-0.567548746456595,-0.6362187937582829,0.4047743535312446
