,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,PI($p$),0.008189370008686272,0.009137985610137012,8.35027810110711e-05
1,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Prop,-0.5590932484157871,-0.6238558098277693,0.3891960714558619
2,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Num,-0.55981784203012,-0.6246643367369147,0.39020553359096954
3,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM,-0.5570710741322306,-0.6215993970042274,0.3863858103560191
4,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM($0.75$),-0.5594558202389597,-0.6242603801548248,0.38970102223104636
5,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,PI($p$),0.006783061194630082,0.007568777027227247,5.7286385687882924e-05
6,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Prop,-0.542375545535644,-0.6052016119845581,0.36626899114870765
7,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Num,-0.5430158454634384,-0.6059160810487414,0.36713429727346497
8,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM,-0.5384344517770872,-0.600804001665853,0.36096544841770234
9,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM($0.75$),-0.5383261050368102,-0.6006831045818886,0.36082019213013605
10,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,PI($p$),0.010574690800198005,0.011799610014123552,0.0001392307964854048
11,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Prop,-0.5620672046734534,-0.627174254281849,0.3933475452339934
12,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Num,-0.561856217944359,-0.6269388279068837,0.39305229393725716
13,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM,-0.5594049719217802,-0.6242036418232811,0.38963018646544706
14,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM($0.75$),-0.5591896342504993,-0.6239633605147802,0.38933027526489755
15,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,PI($p$),-0.007173277777138912,-0.008004194344068516,6.406712709761842e-05
16,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,LS-Prop,-0.5640019892300012,-0.6293331545901385,0.39606021946637515
17,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,LS-Num,-0.5634872285540218,-0.6287587666158773,0.39533758659631923
18,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,DM,-0.5646336892080948,-0.6300380275295245,0.39694791613329394
19,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,3,DM($0.75$),-0.5643143971792567,-0.6296817503113918,0.39649910667521804
20,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,PI($p$),-0.009240422923168635,-0.01031078722953449,0.00010631233329273153
21,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,LS-Prop,-0.5667391971905273,-0.6323874270102038,0.3999138578405858
22,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,LS-Num,-0.5670422875352048,-0.6327256258222365,0.40034171757214077
23,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,DM,-0.5713892327618572,-0.6375760994102011,0.40650328253912665
24,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,4,DM($0.75$),-0.570267253824516,-0.6363241560527237,0.40490843157621115
25,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,PI($p$),0.0015954435595260147,0.0017802517499234671,3.169296293105567e-06
26,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,LS-Prop,-0.5683598064560392,-0.63419575953544,0.4022042614127337
27,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,LS-Num,-0.5680131736914722,-0.6338089745677007,0.40171381624256025
28,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,DM,-0.562224043435944,-0.6273492604609849,0.39356709460094474
29,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,5,DM($0.75$),-0.564631939291077,-0.6300360749108848,0.396945455689114
30,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,PI($p$),0.01263029788084033,0.014093328322501542,0.0001986219032058241
31,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,LS-Prop,-0.5660599557962682,-0.6316295056951373,0.3989558324646835
32,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,6,LS-Num,-0.5674692761619491,-0.6332020746727272,0.4009448673698459
