,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,PI($p$),-0.4947053626666713,-1.5465235897471408,2.3917352136443824
1,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Prop,-0.7120859713639597,-2.2260881642885884,4.955468515185737
2,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Num,-0.7100220429271807,-2.2196360126526673,4.926784028664632
3,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM,-0.7104980641205375,-2.2211241267106545,4.933392386256168
4,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM($0.75$),-0.7102624238494526,-2.2203874796770284,4.9301205599065065
5,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,PI($p$),-0.49220294500731065,-1.5387006546555544,2.3675997046374317
6,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Prop,-0.7085929911834422,-2.2151685813300155,4.906971843711633
7,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Num,-0.7075514105920309,-2.2119124432793638,4.892556656734085
8,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM,-0.7065130744933887,-2.2086664480025386,4.8782074785321505
9,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM($0.75$),-0.7060909714416826,-2.2073468901888758,4.872380293626501
10,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,PI($p$),-0.490126974782127,-1.5322108585725829,2.3476701151277317
11,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Prop,-0.6977783126311948,-2.181360264786958,4.758332604791427
12,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Num,-0.7001977561499807,-2.1889238101985007,4.791387446853922
13,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM,-0.7001324000540883,-2.1887194971838073,4.7904930373525385
14,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,DM($0.75$),-0.7010077633900774,-2.191456015020221,4.802479465768307
