,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,PI($p$),10.686988512506435,33.4186911326127,1116.8089170169667
1,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Prop,-0.4466179540666066,-1.396594320632507,1.9504756964229741
2,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Num,-0.4620064649531235,-1.4447148825387484,2.0872010918289496
3,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM,-0.7065957298033602,-2.2095564547756252,4.88213972684063
4,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM($0.75$),-0.6221411203886901,-1.9454631132836382,3.784826725147266
5,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,PI($p$),-5.247073676636467,-16.40783410072661,269.217019876967
6,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Prop,-0.614004749817151,-1.92002031854754,3.686478023635397
7,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Num,-0.6148483630588778,-1.922658334891214,3.696615072726656
8,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM,-0.7060296543294953,-2.207786311446969,4.874320397012613
9,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM($0.75$),-0.6009096795523496,-1.879071448056369,3.5309095069006595
10,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,PI($p$),6.774050593382362,21.182759224641828,448.70928836914845
11,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Prop,-0.5637018332617226,-1.7627208483115426,3.1071847890721647
12,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Num,-0.5868879628134017,-1.8352249125894764,3.3680504797890514
13,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM,-0.7143289441069104,-2.2337385618275993,4.989587962595632
14,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM($0.75$),-0.5863684320562753,-1.8336003166721158,3.362090121300083
15,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,PI($p$),-16.227825090023412,-50.745134965094664,2575.068722625673
16,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Prop,-0.5990358137905737,-1.8732117859968949,3.5089223951976765
17,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Num,-0.6558434472785394,-2.0508517970521467,4.20599309347202
18,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM,-0.708818756098371,-2.2165079574412925,4.912907525400571
19,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM($0.75$),-0.7594261775009671,-2.374759627955598,5.639483290567809
20,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,PI($p$),0.9417395411085844,2.9448616712600075,8.672210262856284
21,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Prop,-0.5802968746183742,-1.8146142849688263,3.2928250032129247
22,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Num,-0.5806972975993221,-1.8158664255421075,3.29737087541107
23,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM,-0.7099314805223544,-2.219987496489856,4.928344484571299
24,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM($0.75$),-0.7208592427687437,-2.254159097858693,5.0812332384591175
25,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,PI($p$),-0.20853290695995305,-0.6520917282286951,0.4252236220242864
26,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Prop,-0.8141868612736111,-2.5459987356861875,6.4821095621156655
27,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Num,-0.8096791619918848,-2.5319029583922923,6.410532590715642
28,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM,-0.7131566492376866,-2.2300727433320437,4.9732244405525075
29,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM($0.75$),-0.7324644750374149,-2.290449178292025,5.246157438338612
30,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,PI($p$),-8.232842373098896,-25.744466374985493,662.7775489327587
31,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Prop,-0.42680743073380184,-1.334645927999759,1.7812797531263376
32,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Num,-0.4546665056296452,-1.421762501400675,2.0214086103891042
33,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM,-0.7012662999416448,-2.192891089200172,4.808771329093517
34,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM($0.75$),-0.5302051631816354,-1.6579752625866706,2.7488819713493395
35,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,PI($p$),7.080470645900778,22.14094843575293,490.22159763467005
36,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Prop,-0.5686926048329889,-1.7783272142637836,3.162447680991189
37,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Num,-0.5734347051295117,-1.7931559740162537,3.2154083471501798
38,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM,-0.7006131121623527,-2.1908485417957078,4.799817333088379
39,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM($0.75$),-0.6177389672314731,-1.9316973834424085,3.7314547811982473
40,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,PI($p$),-4.8936504517206005,-15.302663866966789,234.17152142537097
41,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Prop,-0.7031824812772228,-2.1988830739517997,4.8350867729117155
42,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Num,-0.6966850524100305,-2.1785653232388915,4.746146867618976
43,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM,-0.7071938879923951,-2.2114269221897533,4.890409032185645
44,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM($0.75$),-0.6858845188518359,-2.144791571669276,4.600130885903563
45,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,PI($p$),-7.698201651198712,-24.072620921873003,579.4910780481979
46,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Prop,-0.8436608519694148,-2.6381652230325425,6.959915744018345
47,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Num,-0.8591976077985174,-2.6867493535055926,7.21862208856272
48,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM,-0.7164905833781205,-2.240498104523857,5.0198317563749955
49,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM($0.75$),-0.8230068105469636,-2.5735791116009317,6.62330944366864
50,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,PI($p$),-1.939898469069038,-6.066149288977012,36.798167196156314
